MiKTeX209-app	0x60000000	0x53000
MiKTeX209-apr	0x60060000	0x47000
MiKTeX209-aprutil	0x600b0000	0x33000
MiKTeX209-bzip2	0x600f0000	0x1f000
MiKTeX209-cairo	0x60110000	0x11e000
MiKTeX209-core-PS	0x60230000	0x11000
MiKTeX209-core	0x60250000	0x229000
MiKTeX209-curl	0x60480000	0x81000
MiKTeX209-dib	0x60510000	0x1a000
MiKTeX209-dvi	0x60530000	0xeb000
MiKTeX209-expat	0x60620000	0x33000
MiKTeX209-extractor	0x60660000	0x2e000
MiKTeX209-fontconfig	0x60690000	0x67000
MiKTeX209-freeglut	0x60700000	0xd7000
MiKTeX209-freetype2	0x607e0000	0xc4000
MiKTeX209-gd	0x608b0000	0x85000
MiKTeX209-getopt	0x60940000	0xf000
MiKTeX209-graphite2	0x60950000	0x3f000
MiKTeX209-harfbuzz	0x60990000	0x128000
MiKTeX209-hunspell	0x60ac0000	0xb8000
MiKTeX209-jpeg	0x60b80000	0x4f000
MiKTeX209-kpathsea	0x60bd0000	0x2a000
MiKTeX209-libressl-crypto	0x60c00000	0x1c8000
MiKTeX209-log4cxx	0x60dd0000	0x433000
MiKTeX209-lua52	0x61210000	0x42000
MiKTeX209-lua53	0x61260000	0x49000
MiKTeX209-luajit	0x612b0000	0x97000
MiKTeX209-lzma2	0x61350000	0x38000
MiKTeX209-md5	0x61390000	0xf000
MiKTeX209-metapost	0x613a0000	0xe7000
MiKTeX209-mpfr	0x61490000	0x74000
MiKTeX209-mspack	0x61510000	0x22000
MiKTeX209-packagemanager-PS	0x61540000	0x11000
MiKTeX209-packagemanager	0x61560000	0x13e000
MiKTeX209-pixman	0x616a0000	0xd8000
MiKTeX209-png	0x61780000	0x45000
MiKTeX209-poppler-Qt	0x617d0000	0xca000
MiKTeX209-poppler	0x618a0000	0x341000
MiKTeX209-popt	0x61bf0000	0x19000
MiKTeX209-potrace	0x61c10000	0x17000
MiKTeX209-regex	0x61c30000	0x1c000
MiKTeX209-setup	0x61c50000	0x63000
MiKTeX209-teckit	0x61cc0000	0x49000
MiKTeX209-texmf	0x61d10000	0x75000
MiKTeX209-trace	0x61d90000	0x21000
MiKTeX209-ui-MFC	0x61dc0000	0x8e000
MiKTeX209-ui-Qt	0x61e50000	0x7e000
MiKTeX209-unxemu	0x61ed0000	0x14000
MiKTeX209-uriparser	0x61ef0000	0x21000
MiKTeX209-utf8wrap	0x61f20000	0x1e000
MiKTeX209-util	0x61f40000	0x2b000
MiKTeX209-web2c	0x61f70000	0x1f000
MiKTeX209-zlib	0x61f90000	0x24000
MiKTeX209-zzip	0x61fc0000	0x14000
